"CustomerID","ContactName","CompanyName","CompanyAddress","PhoneNumber"
1,"Mbengue, Randy","Action Wars","474 Orchard Avenue, Moorhead, MN 56560","8907248356"
2,"Flores, Iesha","Air Missions","905 Jefferson Court, Bridgewater, NJ 08807","5943728650"
3,"Valdez, Taylor","Air Square","80 4th Street North, Derby, KS 67037","4813607492"
4,"Hampton, Vaughn","Airport Family","567 Poplar Street, Lewis Center, OH 43035","1903581762"
5,"Vega-Ferrales, Mikayla","Airport Hunters","29 Broad Street West, Saint Augustine, FL 32084","8341902865"
6,"Conde, Tijona","Airport Princess","2232 Clay Drive, Springfield, PA 19064","4154072938"
7,"Patterson, Ashley","Airport Raiders","808 9th Street West, Dearborn, MI 48124","5570182946"
8,"Lange, Kvia","Airport Supermodel","2217 BStreet Drive, Suitland, MD 20746","6370412589"
9,"Mosley, Mikala","Airport Wars","870 School Street, Cedar Rapids, IA 52402","2476918352"
10,"Veasley, Joshua","Aluminium Dance Crew","367 Route 17, Peabody, MA 01960","4286307549"
11,"Gonzalez, Raveena","Aluminium Gunfire","653 Hamilton Street, Hephzibah, GA 30815","8695324180"
12,"Sanchez, Khadijah","Aluminium House Party","798 Colonial Avenue, Detroit, MI 48205","4140327986"
13,"Clopton-Mitchell, Rebecca","Aluminium Leopard","1122 Canterbury Street, Wilmington, MA 01887","5019657384"
14,"Yang, Samip","Aluminium Life","726 Country Club Drive, Fort Worth, TX 76110","7549821367"
15,"Yanez, Gabriela","Aluminium Presidents","634 Vine Street, Honolulu, HI 96815","6912084735"
16,"Scheie, Nico","Aluminium Project","1112 Ivy Avenue, Woburn, MA 01801","5425709381"
17,"Ganaway, Eileen","Aluminium Rockhoppers","1185 Fairview Street, Uniondale, NY 11553","2615098274"
18,"Shavers, Jordyn","Amateur Attack","1191 Ivy Court, Tualatin, OR 97062","4673812495"
19,"Hoang, Malik","Amateur Blitz","820 Main Street East, Cranford, NJ 07016","3248619307"
20,"Steege, Ronny","Amateur Discoveries","160 Clinton Street, Warner Robins, GA 31088","6429518760"
21,"Huicochea, Sarai","Amateur Driver","2263 Route 29, Severn, MD 21144","5162394587"
22,"Phung, Brendan","Amateur Mania","1184 Route 10, Uniontown, PA 15401","1103925846"
23,"Yoshimura, Jamar","Amateur VIP","858 West Street, Chesterfield, VA 23832","1394850671"
24,"Zambrano-Munoz, Naugh'Tia","American Behavior","626 Manor Drive, Huntersville, NC 28078","2079143865"
25,"Randall, Barrett","American Inventors","405 Rosewood Drive, Oak Ridge, TN 37830","1214897360"
26,"Tseng, Genaro","American Videos","530 Hamilton Street, Manchester, NH 03102","9613270985"
27,"Jhaveri, Marco","An American Bobcat","139 Clark Street, West Warwick, RI 02893","6285176349"
28,"Brito, Trevor","An American Casting Call","797 William Street, Detroit, MI 48205","9907862415"
29,"Huger, Miguel","An American Dolphin","2257 Magnolia Drive, Shelbyville, TN 37160","2931208674"
30,"Joy, Jose","An American Farm","916 12th Street East, Bountiful, UT 84010","4309625748"
31,"Clubine, Kristen","An American Ladybug","693 Route 2, Goshen, IN 46526","6801732945"
32,"Harness, Karina","An American Master","488 Taylor Street, Milledgeville, GA 31061","2621738590"
33,"Edwards, Daniel","An American Overload","675 8th Street West, Grovetown, GA 30813","1147862359"
34,"Landwehr, Chung","An American Pickers","42 York Road, North Fort Myers, FL 33917","9109625438"
35,"Mcgee, Mariah","An American Superhero","1111 Williams Drive, Woodbridge, VA 22191","2103659478"
36,"Noble, Scott","Ancient Brother","34 Front Street South, Port Huron, MI 48060","2365879402"
37,"Chang, Taylor","Ancient Club","658 Wall Street, Helotes, TX 78023","3170385496"
38,"Nguyen, Juwan","Ancient Contest","996 Eagle Road, Ada, OK 74820","6182093475"
39,"Moore, Miranda","Ancient Dance Crew","789 Wall Street, Duarte, CA 91010","8938740521"
40,"Love, Kenneth","Ancient Mixers","879 Hamilton Street, Capitol Heights, MD 20743","1341856072"
41,"Gonzalez, Shaquon","Ancient Room","571 Lafayette Avenue, Leland, NC 28451","2609532784"
42,"Villarreal, Daniela","Ancient Shore","789 Cedar Lane, Dublin, GA 31021","7916542870"
43,"Dweh, Adam","Ancient Show","1142 Country Avenue, West Lafayette, IN 47906","7561390274"
44,"Zhong, Devin","Ancient Sweets","2259 Hillside Avenue, Shakopee, MN 55379","2296740853"
45,"Urbina, Amber","Ancient Truckers","245 Route 5, Soddy Daisy, TN 37379","9864327591"
46,"Flynn, John","Apricot Academy","140 7th Avenue, West Palm Beach, FL 33404","4240761395"
47,"Law, Alma","Apricot Crashers","359 10th Street, Philadelphia, PA 19111","9702859641"
48,"Garcia, Elisha","Apricot Icon","254 York Street, Shrewsbury, MA 01545","6832459061"
49,"Adams, Huong","Apricot Inventors","1149 5th Drive North, West Bloomfield, MI 48322","2462710958"
50,"Drozdowski, Taylor","Apricot Project","471 Walnut Street, Morristown, NJ 07960","1218436057"
